Paires USD a agreger : 413
  [313/413] SDN/USD       40217 bougies 15m | 1162s ecoules | ETA 6min
  [314/413] SEI/USD       76765 bougies 15m | 1167s ecoules | ETA 6min
  [315/413] SGB/USD       94455 bougies 15m | 1173s ecoules | ETA 6min
  [316/413] SHIB/USD     141582 bougies 15m | 1182s ecoules | ETA 6min
  [317/413] SIGMA/USD     15168 bougies 15m | 1183s ecoules | ETA 6min
  [318/413] SKY/USD       24919 bougies 15m | 1184s ecoules | ETA 6min
  [319/413] SNX/USD      142445 bougies 15m | 1192s ecoules | ETA 6min
  [320/413] SOL/USD      158539 bougies 15m | 1209s ecoules | ETA 6min
  [321/413] SONIC/USD      8455 bougies 15m | 1210s ecoules | ETA 6min
  [322/413] SPELL/USD     53585 bougies 15m | 1213s ecoules | ETA 6min
  [323/413] SPICE/USD      9282 bougies 15m | 1214s ecoules | ETA 6min
  [324/413] SPX/USD       36739 bougies 15m | 1216s ecoules | ETA 6min
  [325/413] SRM/USD       78275 bougies 15m | 1221s ecoules | ETA 6min
  [326/413] SSV/USD        3614 bougies 15m | 1221s ecoules | ETA 5min
  [327/413] STEP/USD      27016 bougies 15m | 1223s ecoules | ETA 5min
  [328/413] STG/USD       31004 bougies 15m | 1225s ecoules | ETA 5min
  [329/413] STORJ/USD    108370 bougies 15m | 1232s ecoules | ETA 5min
  [330/413] STRD/USD      20386 bougies 15m | 1233s ecoules | ETA 5min
  [331/413] STRK/USD      46705 bougies 15m | 1236s ecoules | ETA 5min
  [332/413] STX/USD       88680 bougies 15m | 1241s ecoules | ETA 5min
  [333/413] SUI/USD       79806 bougies 15m | 1247s ecoules | ETA 5min
  [334/413] SUNDOG/USD    10378 bougies 15m | 1248s ecoules | ETA 5min
  [335/413] SUN/USD        6829 bougies 15m | 1248s ecoules | ETA 5min
  [336/413] SUPER/USD     68245 bougies 15m | 1252s ecoules | ETA 5min
  [337/413] SUSHI/USD     90234 bougies 15m | 1258s ecoules | ETA 5min
  [338/413] SWARMS/USD     5530 bougies 15m | 1258s ecoules | ETA 5min
  [339/413] SWELL/USD     25990 bougies 15m | 1260s ecoules | ETA 5min
  [340/413] SYN/USD       59847 bougies 15m | 1263s ecoules | ETA 5min
  [341/413] SYRUP/USD     32366 bougies 15m | 1266s ecoules | ETA 4min
  [342/413] TAO/USD       52023 bougies 15m | 1269s ecoules | ETA 4min
  [343/413] TBTC/USD      19009 bougies 15m | 1271s ecoules | ETA 4min
  [344/413] TEER/USD      30039 bougies 15m | 1273s ecoules | ETA 4min
  [345/413] TERM/USD       1600 bougies 15m | 1273s ecoules | ETA 4min
  [346/413] TIA/USD       73352 bougies 15m | 1277s ecoules | ETA 4min
  [347/413] TITCOIN/USD   21355 bougies 15m | 1279s ecoules | ETA 4min
  [348/413] TLM/USD       34448 bougies 15m | 1281s ecoules | ETA 4min
  [349/413] TNSR/USD      22242 bougies 15m | 1282s ecoules | ETA 4min
  [350/413] TOKEN/USD     11215 bougies 15m | 1283s ecoules | ETA 4min
  [351/413] TOKE/USD      29832 bougies 15m | 1285s ecoules | ETA 4min
  [352/413] TON/USD       41562 bougies 15m | 1287s ecoules | ETA 4min
  [353/413] TOSHI/USD     27627 bougies 15m | 1289s ecoules | ETA 4min
  [354/413] TRAC/USD      32332 bougies 15m | 1291s ecoules | ETA 4min
  [355/413] TREMP/USD     30362 bougies 15m | 1293s ecoules | ETA 4min
