2026-07-08 09:00 | controle pairs: OK 9/9 | positions 2 | equity 99728.19 (-271.81) | net -30.0%/an
2026-07-08 10:00 | controle pairs: OK 9/9 | positions 2 | equity 99721.25 (-278.75) | net -30.4%/an
2026-07-08 11:00 | controle pairs: OK 9/9 | positions 2 | equity 99727.74 (-272.26) | net -29.3%/an
2026-07-08 12:00 | controle pairs: OK 9/9 | positions 2 | equity 99717.93 (-282.07) | net -30.0%/an
2026-07-08 13:00 | controle pairs: OK 9/9 | positions 2 | equity 99725.35 (-274.65) | net -28.9%/an
2026-07-08 14:00 | controle pairs: OK 9/9 | positions 2 | equity 99710.00 (-290.00) | net -30.1%/an
2026-07-08 15:00 | controle pairs: OK 9/9 | positions 2 | equity 99727.86 (-272.14) | net -28.0%/an
2026-07-08 16:00 | controle pairs: OK 9/9 | positions 2 | equity 99734.23 (-265.77) | net -27.0%/an
2026-07-08 17:00 | controle pairs: OK 9/9 | positions 2 | equity 99729.00 (-271.00) | net -27.2%/an
2026-07-08 18:00 | controle pairs: OK 9/9 | positions 2 | equity 99724.89 (-275.11) | net -27.3%/an
2026-07-08 19:00 | controle pairs: OK 9/9 | positions 2 | equity 99728.68 (-271.32) | net -26.6%/an
2026-07-08 20:00 | controle pairs: OK 9/9 | positions 2 | equity 99729.40 (-270.60) | net -26.3%/an
2026-07-08 21:00 | controle pairs: OK 9/9 | positions 2 | equity 99734.96 (-265.04) | net -25.4%/an
2026-07-08 22:00 | controle pairs: OK 9/9 | positions 2 | equity 99740.08 (-259.92) | net -24.7%/an
2026-07-08 23:00 | controle pairs: OK 9/9 | positions 2 | equity 99726.01 (-273.99) | net -25.7%/an
2026-07-09 00:00 | controle pairs: OK 9/9 | positions 2 | equity 99729.62 (-270.38) | net -25.1%/an
2026-07-09 01:00 | controle pairs: OK 9/9 | positions 2 | equity 99721.93 (-278.07) | net -25.6%/an
2026-07-09 02:00 | controle pairs: OK 9/9 | positions 2 | equity 99733.71 (-266.29) | net -24.2%/an
2026-07-09 03:00 | controle pairs: OK 9/9 | positions 2 | equity 99748.42 (-251.58) | net -22.7%/an
2026-07-09 04:00 | controle pairs: OK 9/9 | positions 3 | equity 99662.61 (-337.39) | net -30.1%/an
2026-07-09 05:00 | controle pairs: OK 9/9 | positions 3 | equity 99663.71 (-336.29) | net -29.7%/an
2026-07-09 06:00 | controle pairs: OK 9/9 | positions 3 | equity 99662.52 (-337.48) | net -29.5%/an
2026-07-09 07:00 | controle pairs: OK 9/9 | positions 3 | equity 99657.20 (-342.80) | net -29.6%/an
2026-07-09 08:00 | controle pairs: OK 9/9 | positions 3 | equity 99658.15 (-341.85) | net -29.3%/an
2026-07-09 09:00 | controle pairs: OK 9/9 | positions 3 | equity 99674.02 (-325.98) | net -27.6%/an
2026-07-09 10:00 | controle pairs: OK 9/9 | positions 3 | equity 99673.67 (-326.33) | net -27.4%/an
2026-07-09 11:00 | controle pairs: OK 9/9 | positions 3 | equity 99637.64 (-362.36) | net -30.2%/an
2026-07-09 12:00 | controle pairs: OK 9/9 | positions 3 | equity 99661.01 (-338.99) | net -27.9%/an
2026-07-09 13:00 | controle pairs: OK 9/9 | positions 3 | equity 99677.90 (-322.10) | net -26.3%/an
2026-07-09 14:00 | controle pairs: OK 9/9 | positions 3 | equity 99655.16 (-344.84) | net -27.9%/an
2026-07-09 15:00 | controle pairs: OK 9/9 | positions 3 | equity 99656.90 (-343.10) | net -27.5%/an
2026-07-09 16:00 | controle pairs: OK 9/9 | positions 3 | equity 99661.30 (-338.70) | net -26.9%/an
2026-07-09 17:00 | controle pairs: OK 9/9 | positions 3 | equity 99663.57 (-336.43) | net -26.5%/an
2026-07-09 18:00 | controle pairs: OK 9/9 | positions 3 | equity 99646.28 (-353.72) | net -27.6%/an
2026-07-09 19:00 | controle pairs: OK 9/9 | positions 3 | equity 99664.87 (-335.13) | net -25.9%/an
2026-07-09 20:00 | controle pairs: OK 9/9 | positions 3 | equity 99688.26 (-311.74) | net -23.9%/an
2026-07-09 21:00 | controle pairs: OK 9/9 | positions 3 | equity 99639.44 (-360.56) | net -27.4%/an
2026-07-09 22:00 | controle pairs: OK 9/9 | positions 3 | equity 99660.69 (-339.31) | net -25.6%/an
2026-07-09 23:00 | controle pairs: OK 9/9 | positions 3 | equity 99669.25 (-330.75) | net -24.7%/an
2026-07-10 00:00 | controle pairs: OK 9/9 | positions 3 | equity 99664.42 (-335.58) | net -24.9%/an
2026-07-10 01:00 | controle pairs: OK 9/9 | positions 3 | equity 99628.01 (-371.99) | net -27.3%/an
2026-07-10 02:00 | controle pairs: OK 9/9 | positions 3 | equity 99654.18 (-345.82) | net -25.2%/an
2026-07-10 03:00 | controle pairs: OK 9/9 | positions 3 | equity 99668.64 (-331.36) | net -23.9%/an
2026-07-10 04:00 | controle pairs: OK 9/9 | positions 3 | equity 99657.01 (-342.99) | net -24.6%/an
2026-07-10 05:00 | controle pairs: OK 9/9 | positions 8 | equity 99505.85 (-494.15) | net -35.1%/an
2026-07-10 06:00 | controle pairs: OK 9/9 | positions 8 | equity 99504.23 (-495.77) | net -34.9%/an
